"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C9,C31,C37,C42,C47","8","100n","","","","samacsys:C_0201_custom","~"
"C2,C14","2","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C6,C11,C12,C17,C28,C30,C39,C41,C44","10","100n","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C7,C10","2","2.2u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8,C13,C21,C22,C23,C24,C26,C33,C36","9","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C15","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16","1","0.1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C18,C19,C20,C46,C48,C49,C50,C51,C52,C53,C54,C55","12","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C25,C45","2","10u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C27,C34,C35","3","10n","","","","samacsys:C_0201_custom","~"
"C29,C32","2","TBD","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C38,C40","2","15p","","","","samacsys:C_0201_custom","~"
"C43","1","10u","","","","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J","~"
"D1","1","82400274","","","","samacsys:SOT65P210X110-6N","https://katalog.we-online.com/pbs/datasheet/82400274.pdf"
"D2,D3","2","BAT60JFILM","","","","samacsys:SOD2513X117N","https://www.mouser.jp/datasheet/2/389/cd00001944-1795661.pdf"
"ESC1,ESC2,ESC3","3","SM08B-SRSS-TBLFSN","","","","Connector_JST:JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal",""
"IC1","1","LMR51625YFDDCR","","","","samacsys:SOT95P280X110-6N","https://www.mouser.kr/ProductDetail/Texas-Instruments/LMR51625YFDDCR?qs=efUn273yAhe0Di9PgWnVVg%3D%3D"
"IC2,IC3","2","LDO40LPU33RY","","","","samacsys:SON95P300X300X90-7N-D","https://www.st.com/resource/en/datasheet/ldo40l.pdf"
"IC4","1","ESP32-C6FH4","","","","samacsys:QFN50P500X500X90-33N","https://www.mouser.ch/ProductDetail/Espressif-Systems/ESP32-C6FH4?qs=sGAEpiMZZMu3sxpa5v1qriveB5Rxa06Y9iJOmwW58jU%3D"
"IC5","1","ADXL343BCCZ-RL","","","","samacsys:ADXL343BCCZRL","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf"
"IC6","1","MAX98357AETE+","","","","samacsys:QFN50P300X300X80-17N","https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf"
"IC7","1","W25Q128JVPIQ_TR","","","","samacsys:SON127P800X600X80-9N-D","https://www.winbond.com/resource-files/w25q128jv%20revf%2003272018%20plus.pdf"
"J1","1","USB4110-GF-A","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","636101111001","","","","samacsys:636101111001","https://www.we-online.com/components/products/datasheet/636101111001.pdf"
"J3","1","XT30PW-M","","","","samacsys:XT30PWM","https://www.tme.eu/sl/Document/ce4077e36b79046da520ca73227e15de/XT30PW%20SPEC.pdf"
"J4","1","SM02B-GHS-TB_LF__SN_","","","","samacsys:SM02BGHSTBLFSN","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/e4ef010dc292ea31091454f6c0afb63a.pdf"
"J5","1","SM12B-SRSS-TB_LF__SN_","","","","samacsys:SM12BSRSSTBLFSN","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf?67c6d96c290cd"
"L1","1","74438335033","","","","samacsys:INDC3030X150N","http://katalog.we-online.de/pbs/datasheet/74438335033.pdf"
"L2","1","2nH","","","","Inductor_SMD:L_0402_1005Metric","~"
"L3","1","TBD","","","","Inductor_SMD:L_0402_1005Metric","~"
"LED1","1","587-1024-147F","","","","samacsys:5871024147F","https://s3-us-west-2.amazonaws.com/catsy.557/Dialight_datasheet_587-1024-147F_Addressable_RGB.pdf"
"LED2,LED3","2","XZMDKCBDDG45S-9","","","","samacsys:XZMDKCBDDG45S9","http://www.sunledusa.com/products/spec/XZMDKCBDDG45S-9.pdf"
"LEDBLUE1","1","150040BS73240","","","","LED_SMD:LED_0402_1005Metric","~"
"LEDGREEN1","1","150040GS73240","","","","LED_SMD:LED_0402_1005Metric","~"
"LEDRED1,LEDRED2","2","150040RS73240","","","","LED_SMD:LED_0402_1005Metric","~"
"LIDAR1,TOF1,TOF2,TOF3","4","SM04B-GHE-TB","","","","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",""
"Q1","1","STR2N2VH5","","","","samacsys:SOT95P255X140-3N","http://www.st.com/web/en/resource/technical/document/datasheet/DM00068028.pdf"
"Q2,Q4,Q5","3","BSS138PW","","","","samacsys:SOT65P210X110-3N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-NXP/DSANXP010002286.pdf"
"Q3","1","SQS401EN-T1_BE3","","","","samacsys:SQS401ENT1_BE3","https://www.vishay.com/doc?65529"
"R1","1","20k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2,R18,R34","3","1k","","","","samacsys:R_0201_custom","~"
"R3,R4,R17,R23,R24,R35,R36,R37,R38","9","1k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R5,R9,R10,R26,R27","5","22R","","","","Resistor_SMD:R_0201_0603Metric","~"
"R6","1","10k","","","","samacsys:R_0201_custom","~"
"R7,R8","2","5.1k","","","","samacsys:R_0201_custom","~"
"R11","1","820k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R12","1","200k","","","","samacsys:R_0201_custom","~"
"R13,R33,R39,R40,R41","5","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R14","1","19.1k","","","","samacsys:R_0201_custom","~"
"R15,R42,R43,R44","4","100R","","","","Resistor_SMD:R_0201_0603Metric","~"
"R16","1","100k","","","","samacsys:R_0201_custom","~"
"R19,R20,R28,R29","4","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R21","1","20R","","","","samacsys:R_0201_custom","~"
"R22","1","20R","","","","Resistor_SMD:R_0201_0603Metric","~"
"R25","1","22R","","","","samacsys:R_0201_custom","~"
"R30","1","300k","","","","Resistor_SMD:R_0201_0603Metric","~"
